# cldr	sme	http://cldr.unicode.org/	MIT-like
08760393-n	sme:lemma	davvi-Eurohpá
09022831-n	sme:lemma	Lulli-Amerihkká
09023118-n	sme:lemma	Andorra
09044190-n	sme:lemma	Ovttastuvvan
08703454-n	sme:lemma	Afghanistan
08709704-n	sme:lemma	Antigua
08708742-n	sme:lemma	Anguilla
08704822-n	sme:lemma	Albánia
09017526-n	sme:lemma	Armenia
08707917-n	sme:lemma	Angola
09198106-n	sme:lemma	Antárktis
08711974-n	sme:lemma	Argentina
08991878-n	sme:lemma	Amerihká
08845555-n	sme:lemma	Nuortariika
09211266-n	sme:lemma	Austrália
08831004-n	sme:lemma	Austrália
08748794-n	sme:lemma	Aruba
09018162-n	sme:lemma	Aserbaižan
08817630-n	sme:lemma	Bosnia-Hercegovina
08755436-n	sme:lemma	Barbados
08755214-n	sme:lemma	Barbados
08848731-n	sme:lemma	Bangladesh
08849753-n	sme:lemma	Belgia
08896440-n	sme:lemma	Burkina
08714132-n	sme:lemma	Bulgária
08848094-n	sme:lemma	Bahrain
08848421-n	sme:lemma	Bahrain
08716219-n	sme:lemma	Burundi
08759420-n	sme:lemma	Benin
08710678-n	sme:lemma	Bermuda
08896092-n	sme:lemma	Brunei
08852843-n	sme:lemma	Bolivia
08853741-n	sme:lemma	Brasil
08847268-n	sme:lemma	Bahamas
08852209-n	sme:lemma	Bhutan
08711143-n	sme:lemma	Bouvet-sullot
08852389-n	sme:lemma	Botswana
09011151-n	sme:lemma	Vilges-Ruošša
08737521-n	sme:lemma	Belize
08820121-n	sme:lemma	Kanáda
08718577-n	sme:lemma	Gaska-Afrihká
09031653-n	sme:lemma	Šveica
08736517-n	sme:lemma	Elfenbenariddu
08736517-n	sme:lemma	Elfenbenariddu
08720481-n	sme:lemma	Čiile
08717209-n	sme:lemma	Kamerun
08730550-n	sme:lemma	Kiinná
08723006-n	sme:lemma	Kiinná
08732116-n	sme:lemma	Kolombia
08736107-n	sme:lemma	Costa
08750151-n	sme:lemma	Kuba
08750334-n	sme:lemma	Kuba
08717915-n	sme:lemma	Kap
08756735-n	sme:lemma	Kypros
08756884-n	sme:lemma	Kypros
08757264-n	sme:lemma	Čeahkka
08766988-n	sme:lemma	Duiska
08762823-n	sme:lemma	Djibouti
08762495-n	sme:lemma	Djibouti
08761244-n	sme:lemma	Dánmárku
08763193-n	sme:lemma	Dominica
08763010-n	sme:lemma	Dominica
08752021-n	sme:lemma	Dominikána
08705397-n	sme:lemma	Algeria
08776687-n	sme:lemma	Ecuador
09012297-n	sme:lemma	Estlánda
08896831-n	sme:lemma	Egypta
08897065-n	sme:lemma	Egypta
08970833-n	sme:lemma	Oarje-Sahára
08777544-n	sme:lemma	Eritrea
09023321-n	sme:lemma	Spánia
08778061-n	sme:lemma	Etiopia
08779504-n	sme:lemma	Suopma
08779149-n	sme:lemma	Fijisullot
08718391-n	sme:lemma	Falklandsullot
08718391-n	sme:lemma	Falklandsullot
08837048-n	sme:lemma	Mikronesia
08836886-n	sme:lemma	Mikronesia
08952856-n	sme:lemma	Fearsullot
08952628-n	sme:lemma	Fearsullot
08929922-n	sme:lemma	Frankriika
08945529-n	sme:lemma	Gabon
08860123-n	sme:lemma	Stuorra-Británnia
08946909-n	sme:lemma	Grenada
09076421-n	sme:lemma	Georgia
09018848-n	sme:lemma	Georgia
09075842-n	sme:lemma	Georgia
08946187-n	sme:lemma	Ghana
08819397-n	sme:lemma	Kalaallit
08945821-n	sme:lemma	Gámbia
08947319-n	sme:lemma	Guinea
08751126-n	sme:lemma	Guadeloupe
08763500-n	sme:lemma	Ekvatoriála
08782319-n	sme:lemma	Greika
08780881-n	sme:lemma	Greika
08737041-n	sme:lemma	Guatemala
08838319-n	sme:lemma	Guam
08947772-n	sme:lemma	Guinea-Bissau
08948346-n	sme:lemma	Guyana
08731148-n	sme:lemma	Hongkong
08731148-n	sme:lemma	Hongkong
08737716-n	sme:lemma	Honduras
08815858-n	sme:lemma	Kroátia
