# Wiktionary	mal	http://wiktionary.org/	CC BY-SA
00118567-a	mal:lemma	ജീവനുള്ള
00173220-a	mal:lemma	ഗര്‍ഭിണി
00210848-a	mal:lemma	കഷണ്ടി
00218950-a	mal:lemma	സുന്ദരന്‍
00273082-a	mal:lemma	ഇരുട്ട്
00273082-a	mal:lemma	അന്ധകാരം
00372111-a	mal:lemma	കാക്കി
00375969-a	mal:lemma	പച്ച
00385756-a	mal:lemma	മഞ്ഞ
00389310-a	mal:lemma	ചാരം
00392812-a	mal:lemma	കറുപ്പ്
00393105-a	mal:lemma	വെളുത്ത
00523978-a	mal:lemma	അപൂര്‍ണ്ണം
01010862-a	mal:lemma	ഒന്നം
01061489-a	mal:lemma	സ്വതന്ത്രം
01123148-a	mal:lemma	നല്ലത്
01251128-a	mal:lemma	തണുത്ത
01251128-a	mal:lemma	ഇളം ചാരനിറമുളള
01251128-a	mal:lemma	കഠിനമായ
01251128-a	mal:lemma	ബോധമില്ലാത്ത
01251128-a	mal:lemma	ശീതളമായ
01251128-a	mal:lemma	സന്തോഷമില്ലാത്ത
01372049-a	mal:lemma	ദയ
01638438-a	mal:lemma	പഴയ
01638438-a	mal:lemma	പഴയത്
01640850-a	mal:lemma	പുതിയ
01640850-a	mal:lemma	പുതിയത്
01643620-a	mal:lemma	പഴയ
01643620-a	mal:lemma	പഴയത്
01646941-a	mal:lemma	ഇളയതായ
01694223-a	mal:lemma	മൂടിയ
01710260-a	mal:lemma	സൌജന്യം
02071139-a	mal:lemma	എതിർ
02071139-a	mal:lemma	വിപരീതം
02161432-a	mal:lemma	അതിപ്രധാനമായ
02161432-a	mal:lemma	മുഖ്യമായ
02161432-a	mal:lemma	ഗൗരവമുള്ള
02161432-a	mal:lemma	ഉയര്‍ന്ന പദവിയിലുള്ള
02202146-a	mal:lemma	രണ്ടാമത്തെ
02368336-a	mal:lemma	മധുരം
00015388-n	mal:lemma	മൃഗം
00021265-n	mal:lemma	ആഹാരം
00021265-n	mal:lemma	ഭക്ഷണം
00028270-n	mal:lemma	സമയം
00034574-n	mal:lemma	ദയ
00034574-n	mal:lemma	ഐന്തൽ
00034574-n	mal:lemma	അനുകമ്പ
00037396-n	mal:lemma	കര്‍മ്മം
00037396-n	mal:lemma	പ്രവൃത്തി
00062133-n	mal:lemma	രതിമൂര്‍ച്ഛ
00138221-n	mal:lemma	ഉമ്മ
00138221-n	mal:lemma	ചുംബനം
00154433-n	mal:lemma	വിവരണക്കുറിപ്പുകള്‍
00181781-n	mal:lemma	തിരഞ്ഞെടുപ്പ്
00220522-n	mal:lemma	കൊല
00220522-n	mal:lemma	ഹത്യ
00235435-n	mal:lemma	തുടക്കം
00235435-n	mal:lemma	ആരംഭം
00295701-n	mal:lemma	യാത്ര
00428270-n	mal:lemma	ആട്ടം
00428270-n	mal:lemma	നാട്യം
00428270-n	mal:lemma	നൃത്തം
00464894-n	mal:lemma	ഗോൾഫ്
00482298-n	mal:lemma	ടെന്നീസ്
00654885-n	mal:lemma	ഉത്തരവാദിത്തം
00654885-n	mal:lemma	ശ്രദ്ധ
00697365-n	mal:lemma	കുത്തിവെയ്പു്
00719494-n	mal:lemma	കടമ
00757080-n	mal:lemma	പാപം
00759694-n	mal:lemma	ഭീകരവാദം
00773402-n	mal:lemma	ബലാത്സംഗം
00844254-n	mal:lemma	ലൈംഗികബന്ധം
00844254-n	mal:lemma	സംഭോഗം
00844254-n	mal:lemma	മൈഥുനം
00855169-n	mal:lemma	വദനസുരതം
00947128-n	mal:lemma	വിനിയോഗം
00973077-n	mal:lemma	യുദ്ധം
01106808-n	mal:lemma	ഇടപാട്
01168569-n	mal:lemma	മത്സരം
01207609-n	mal:lemma	സഹായം
01211667-n	mal:lemma	സമാധാനം
01225027-n	mal:lemma	ആക്ഷേപിക്കുക
01482330-n	mal:lemma	സ്രാവ്
01503061-n	mal:lemma	പക്ഷി
01503061-n	mal:lemma	തടവറ
01503061-n	mal:lemma	പറവ
01503061-n	mal:lemma	വിഹഗം
01503061-n	mal:lemma	കിളി
01503061-n	mal:lemma	കുരുവി
01503061-n	mal:lemma	പെണ്‍കുട്ടി
01503061-n	mal:lemma	സ്ത്രീ
01503061-n	mal:lemma	ജയില്‍ശിക്ഷ
01503061-n	mal:lemma	പ്രത്യേകതയുള്ള വ്യക്തി
01518878-n	mal:lemma	ഒട്ടകപക്ഷി
01558993-n	mal:lemma	അമേരിക്കന് റോബിന്
01579028-n	mal:lemma	കാക്ക
01613294-n	mal:lemma	പരുന്ത്
01639765-n	mal:lemma	തവള
01661091-n	mal:lemma	ഉരഗം
01670092-n	mal:lemma	ആമ
01674464-n	mal:lemma	പല്ലി
01693783-n	mal:lemma	ഓന്ത്
01726692-n	mal:lemma	പാന്പ്
01726692-n	mal:lemma	സര്‍പ്പം
01726692-n	mal:lemma	പന്നഗം
01726692-n	mal:lemma	ഉരഗം
01772222-n	mal:lemma	എട്ടുകാലി
01772222-n	mal:lemma	ചിലന്തി
01786646-n	mal:lemma	തേരട്ട
01816887-n	mal:lemma	തത്ത
01858441-n	mal:lemma	അരയന്നം
01858441-n	mal:lemma	ഹംസം
01895735-n	mal:lemma	തൊലി
01895735-n	mal:lemma	ചര്‍മ്മം
01937909-n	mal:lemma	നീരട്ട
02062744-n	mal:lemma	തിമിംഗലം
02083672-n	mal:lemma	കൂത്തിപ്പട്ടി
02084071-n	mal:lemma	നായ
02084071-n	mal:lemma	പട്ടി
02118333-n	mal:lemma	കുറുക്കൻ
02121620-n	mal:lemma	പൂച്ച
02128669-n	mal:lemma	കരിമ്പുലി
02129165-n	mal:lemma	സിംഹം
02129604-n	mal:lemma	പുലി
02129604-n	mal:lemma	വ്യാഘ്രം
02131653-n	mal:lemma	കരടി
02200198-n	mal:lemma	കൊതുക്‌
02206856-n	mal:lemma	ഇണ്ട
02206856-n	mal:lemma	ഘണ്ഡം
02206856-n	mal:lemma	ഭസനം
02207179-n	mal:lemma	ആൺതേനീച്ച
02219486-n	mal:lemma	ഉറുമ്പ്
02229544-n	mal:lemma	ചീവീട്
02229544-n	mal:lemma	മണ്ണട്ട
02233338-n	mal:lemma	പാറ്റ
02233338-n	mal:lemma	പാററ
02274259-n	mal:lemma	ചിത്രശലഭം
02274259-n	mal:lemma	പൂമ്പാറ്റ
02330245-n	mal:lemma	ചുണ്ടെലി
02370360-n	mal:lemma	അകിട്
02374451-n	mal:lemma	കുതിര
02389559-n	mal:lemma	കഴുത
02395406-n	mal:lemma	പന്നി
02403454-n	mal:lemma	പശു
02407959-n	mal:lemma	പോത്ത്
02407959-n	mal:lemma	എരുമ
02416519-n	mal:lemma	ആട്
02430045-n	mal:lemma	മാൻ
02437136-n	mal:lemma	ഒട്ടകം
02439033-n	mal:lemma	ജിറാഫ്
02472293-n	mal:lemma	മനുഷ്യന്‍
02484322-n	mal:lemma	കുരങ്ങന്
02503517-n	mal:lemma	ആന
02512053-n	mal:lemma	മീന്‍
02512053-n	mal:lemma	മത്സ്യം
02584449-n	mal:lemma	പിരാന
02666196-n	mal:lemma	മണിച്ചട്ടം
02686568-n	mal:lemma	ആകാശനൗക
02686568-n	mal:lemma	വിമാനം
02691156-n	mal:lemma	വിമാനം
02692232-n	mal:lemma	വിമാനത്താവളം
02742753-n	mal:lemma	അമ്പ്
02764614-n	mal:lemma	അച്ചുതണ്ട്
02818832-n	mal:lemma	മെത്ത
02834778-n	mal:lemma	സൈക്കിൾ
02858304-n	mal:lemma	വഞ്ചി
02858304-n	mal:lemma	വള്ളം
02879718-n	mal:lemma	വില്ല്
02898711-n	mal:lemma	പാലം
02924116-n	mal:lemma	ബസ്
02950256-n	mal:lemma	പീരങ്കി
03046257-n	mal:lemma	നാഴികമണി
03046257-n	mal:lemma	ഘടികാരം
03088164-n	mal:lemma	ഉറ
03110669-n	mal:lemma	ട്രംപറ്റ്
03135532-n	mal:lemma	കുരിശ്
03221720-n	mal:lemma	വാതില്‍
03221720-n	mal:lemma	കതക്
03221720-n	mal:lemma	കവാടം
03221720-n	mal:lemma	പ്രവേശനമുഖം
03282295-n	mal:lemma	രാജപ്രതിനിധിയുടെ
03304730-n	mal:lemma	സ്ഫോടനവസ്തു
03354903-n	mal:lemma	കൊടി
03354903-n	mal:lemma	പതാക
03372029-n	mal:lemma	ഓടക്കുഴൽ
03387016-n	mal:lemma	ചുവട്
03481172-n	mal:lemma	ചുറ്റിക
03542333-n	mal:lemma	ഹോട്ടൽ
03542333-n	mal:lemma	ഹൊട്ടേൽ
03544360-n	mal:lemma	വീട്
03544360-n	mal:lemma	ഗൃഹം
03613294-n	mal:lemma	താക്കോല്‍
03618101-n	mal:lemma	രാജാവ്
03618219-n	mal:lemma	രാജാവ്
03623556-n	mal:lemma	കത്തി
03651084-n	mal:lemma	പെന്‍സില്‍ മുന
03697913-n	mal:lemma	കൈലി
03697913-n	mal:lemma	ലുങ്കി
03744276-n	mal:lemma	മെമ്മറി
03791053-n	mal:lemma	സ്കൂട്ടർ
03972524-n	mal:lemma	കീശ
03972524-n	mal:lemma	പോക്കറ്റ്
03972524-n	mal:lemma	മടിശ്ശീല
03990025-n	mal:lemma	ഉത്തരാധുനികത
04033425-n	mal:lemma	രാജ്ഞി
04033425-n	mal:lemma	റാണി
04049405-n	mal:lemma	മഴക്കോട്ട്
04136161-n	mal:lemma	സാരി
04194289-n	mal:lemma	കപ്പല്‍
04194289-n	mal:lemma	നൌക
04253437-n	mal:lemma	സോപ്പ്
04284002-n	mal:lemma	സ്പൂണ്‍
04284002-n	mal:lemma	കരണ്ടി
04284002-n	mal:lemma	തവി
04290615-n	mal:lemma	സ്പുട്നിക്
04373894-n	mal:lemma	വാള്
04376876-n	mal:lemma	സിറിഞ്ചു്
04379243-n	mal:lemma	മേശ
04407435-n	mal:lemma	അംപലം
04442831-n	mal:lemma	പുകയില
04446276-n	mal:lemma	കക്കൂസ്
