# Wiktionary	kik	http://wiktionary.org/	CC BY-SA
00007846-n	kik:lemma	mundu
00017222-n	kik:lemma	mũmera
00017222-n	kik:lemma	mĩmera
00017222-n	kik:lemma	muti
00017222-n	kik:lemma	miti
00250259-n	kik:lemma	maendeleo
00584367-n	kik:lemma	wira
01792640-n	kik:lemma	ngoko
02206856-n	kik:lemma	njuki
02233338-n	kik:lemma	nyeje
02274259-n	kik:lemma	kihuruta
02416519-n	kik:lemma	bori
02512053-n	kik:lemma	thamaki
02924116-n	kik:lemma	bathi
02958343-n	kik:lemma	ngari
03001627-n	kik:lemma	gete
03082979-n	kik:lemma	mompyuta
03082979-n	kik:lemma	kompyuta
03309808-n	kik:lemma	nguo
03322099-n	kik:lemma	mugunda
03740161-n	kik:lemma	ndawa
03906997-n	kik:lemma	karamu
04197391-n	kik:lemma	sati
04199027-n	kik:lemma	kiratu
04202417-n	kik:lemma	nduka
04379243-n	kik:lemma	metha
04405907-n	kik:lemma	tivii
04452848-n	kik:lemma	igego
04468005-n	kik:lemma	mogithi
04961472-n	kik:lemma	shokaa
05254795-n	kik:lemma	jwere
05311054-n	kik:lemma	maitho
05538625-n	kik:lemma	kyongo
05560787-n	kik:lemma	magoro
06410904-n	kik:lemma	rifuku
06418901-n	kik:lemma	kamusi
07543288-n	kik:lemma	wendo
07588947-n	kik:lemma	thufu
07679356-n	kik:lemma	mugate
07724943-n	kik:lemma	mbosho
07874780-n	kik:lemma	ucoro
08223802-n	kik:lemma	ado
08420278-n	kik:lemma	fengi
08665504-n	kik:lemma	taoni
08699654-n	kik:lemma	Namibia
08703454-n	kik:lemma	Afganistan
08705397-n	kik:lemma	Aljeria
08707917-n	kik:lemma	Angola
08714132-n	kik:lemma	Bulgaria
08715390-n	kik:lemma	Bama
08716219-n	kik:lemma	Burundi
08716738-n	kik:lemma	Kampuchia
08717209-n	kik:lemma	Kaamerun
08717915-n	kik:lemma	Kepu Vad
08719100-n	kik:lemma	Srilanka
08720481-n	kik:lemma	Chile
08723006-n	kik:lemma	Chaina
08730550-n	kik:lemma	Taiwan
08732116-n	kik:lemma	Kolombia
08734044-n	kik:lemma	Kongo
08737041-n	kik:lemma	Gwatemala
08737521-n	kik:lemma	Belize
08738272-n	kik:lemma	Elsavado
08738820-n	kik:lemma	Nikaragwa
08739206-n	kik:lemma	Panama
08740875-n	kik:lemma	Meksiko
08750334-n	kik:lemma	Kiuba
08753933-n	kik:lemma	Jamaika
08755214-n	kik:lemma	Babados
08756884-n	kik:lemma	Saipras
08759986-n	kik:lemma	Togo
08761244-n	kik:lemma	Denmak
08762495-n	kik:lemma	Jibuti
08763193-n	kik:lemma	Dominika
08763500-n	kik:lemma	Ginikweta
08776687-n	kik:lemma	Ekwedo
08777544-n	kik:lemma	Eritrea
08778061-n	kik:lemma	Ethiopia
08779149-n	kik:lemma	Fiji
08779504-n	kik:lemma	Finland
08780881-n	kik:lemma	Greece
08792548-n	kik:lemma	Israel
08815046-n	kik:lemma	Rwanda
08815858-n	kik:lemma	Korasia
08819397-n	kik:lemma	Grinlandi
08831004-n	kik:lemma	Australia
08840374-n	kik:lemma	Tuvalu
08841483-n	kik:lemma	Nauru
08844557-n	kik:lemma	Papua
08845555-n	kik:lemma	Austria
08847268-n	kik:lemma	Bahamas
08848094-n	kik:lemma	Bahren
08848731-n	kik:lemma	Bangladesh
08852209-n	kik:lemma	Butan
08852389-n	kik:lemma	Botswana
08852843-n	kik:lemma	Bolivia
08853741-n	kik:lemma	Buraziri
08896092-n	kik:lemma	Brunei
08896440-n	kik:lemma	Bukinafaso
08897065-n	kik:lemma	Misri
08900535-n	kik:lemma	India
08906374-n	kik:lemma	Nepal
08907606-n	kik:lemma	Indonesia
08910668-n	kik:lemma	Iran
08913434-n	kik:lemma	Irak
08927186-n	kik:lemma	Jordan
08928193-n	kik:lemma	Kenya
08929555-n	kik:lemma	Kuwait
08929922-n	kik:lemma	Frans
08945529-n	kik:lemma	Gabon
08945821-n	kik:lemma	Gambia
08946187-n	kik:lemma	Ghana
08946909-n	kik:lemma	Grenada
08947319-n	kik:lemma	Gine
08948346-n	kik:lemma	Guyana
08954611-n	kik:lemma	ko
08957381-n	kik:lemma	Lebanon
08958830-n	kik:lemma	Lesotho
08959254-n	kik:lemma	Liberia
08959683-n	kik:lemma	Libia
08961970-n	kik:lemma	Madagaska
08962610-n	kik:lemma	Malawi
08963369-n	kik:lemma	Malesia
08965251-n	kik:lemma	Maldova
08965598-n	kik:lemma	Mali
08966239-n	kik:lemma	Malta
08966820-n	kik:lemma	Moritenia
08967484-n	kik:lemma	Morisi
08968879-n	kik:lemma	Mongolia
08969291-n	kik:lemma	Moroko
08971025-n	kik:lemma	Msumbiji
08972521-n	kik:lemma	Nyuziland
08973330-n	kik:lemma	Naija
08973776-n	kik:lemma	Nigeria
08975106-n	kik:lemma	Oman
08975902-n	kik:lemma	Pakistan
08978343-n	kik:lemma	Paragwe
08979054-n	kik:lemma	Peru
08986905-n	kik:lemma	Katar
08988609-n	kik:lemma	Santalusia
08993288-n	kik:lemma	Saudi Arabia
08995862-n	kik:lemma	Senegol
08996483-n	kik:lemma	Shelisheli
08997976-n	kik:lemma	Solomon
08998560-n	kik:lemma	Somalia
09011151-n	kik:lemma	Belarus
09017526-n	kik:lemma	Armenia
09018162-n	kik:lemma	Azabajani
09019726-n	kik:lemma	Kazakstan
09029457-n	kik:lemma	Sudan
09030752-n	kik:lemma	Surinamu
09031233-n	kik:lemma	Uswathi
09033333-n	kik:lemma	Siria
09034550-n	kik:lemma	Tanzania
09037133-n	kik:lemma	Tonga
09037394-n	kik:lemma	Tunisia
09039411-n	kik:lemma	Turkey
09043052-n	kik:lemma	Uganda
09075842-n	kik:lemma	Jojia
09160295-n	kik:lemma	Urugwai
09160775-n	kik:lemma	Vanuatu
09165613-n	kik:lemma	Zambia
09167101-n	kik:lemma	Zimbabwe
09195615-n	kik:lemma	Amerika
09330467-n	kik:lemma	Chad
09536058-n	kik:lemma	Ngai
09827683-n	kik:lemma	mwana
09838895-n	kik:lemma	kinyothi
09953052-n	kik:lemma	kondakta
10020890-n	kik:lemma	dagitari
10084295-n	kik:lemma	muiretu
10193967-n	kik:lemma	morume
10694258-n	kik:lemma	mwarimo
10780632-n	kik:lemma	mutumia
11450566-n	kik:lemma	thitima
11501381-n	kik:lemma	mbura
11683989-n	kik:lemma	mbegũ
14642417-n	kik:lemma	kigera
14685296-n	kik:lemma	makara
14855724-n	kik:lemma	mathugumo
14881303-n	kik:lemma	girathi
15155891-n	kik:lemma	rosho
